0 [2.15e+02]
600 [2.15e+02]
1200 [2.15e+02]
1800 [2.15e+02]
2400 [2.16e+02]
3000 [2.16e+02]
3600 [2.16e+02]
4200 [2.16e+02]
4800 [2.16e+02]
5400 [2.16e+02]
6000 [2.16e+02]
6600 [2.16e+02]
7200 [2.16e+02]
7800 [2.16e+02]
8400 [2.16e+02]
9000 [2.16e+02]
9600 [2.16e+02]
10200 [2.16e+02]
10800 [2.16e+02]
11400 [2.16e+02]
12000 [2.16e+02]
12600 [2.16e+02]
13200 [2.16e+02]
13800 [2.16e+02]
14400 [2.16e+02]
15000 [2.17e+02]
15600 [2.17e+02]
16200 [2.17e+02]
16800 [2.17e+02]
17400 [2.17e+02]
18000 [2.17e+02]
18600 [2.17e+02]
19200 [2.17e+02]
19800 [2.17e+02]
20400 [2.17e+02]
21000 [2.17e+02]
21600 [2.17e+02]
22200 [2.18e+02]
22800 [2.18e+02]
23400 [2.18e+02]
24000 [2.18e+02]
24600 [2.18e+02]
25200 [2.18e+02]
25800 [2.18e+02]
26400 [2.18e+02]
27000 [2.18e+02]
27600 [2.18e+02]
28200 [2.18e+02]
28800 [2.18e+02]
29400 [2.18e+02]
30000 [2.18e+02]
30600 [2.18e+02]
31200 [2.18e+02]
31800 [2.18e+02]
32400 [2.18e+02]
33000 [2.18e+02]
33600 [2.18e+02]
34200 [2.18e+02]
34800 [2.18e+02]
35400 [2.18e+02]
36000 [2.18e+02]
36600 [2.18e+02]
37200 [2.17e+02]
37800 [2.17e+02]
38400 [2.17e+02]
39000 [2.17e+02]
39600 [2.17e+02]
40200 [2.17e+02]
40800 [2.17e+02]
41400 [2.17e+02]
42000 [2.17e+02]
42600 [2.17e+02]
43200 [2.17e+02]
43800 [2.17e+02]
44400 [2.17e+02]
45000 [2.17e+02]
45600 [2.17e+02]
46200 [2.17e+02]
46800 [2.17e+02]
47400 [2.17e+02]
48000 [2.17e+02]
48600 [2.17e+02]
49200 [2.17e+02]
49800 [2.17e+02]
50400 [2.17e+02]
51000 [2.17e+02]
51600 [2.17e+02]
52200 [2.17e+02]
52800 [2.17e+02]
53400 [2.17e+02]
54000 [2.17e+02]
54600 [2.17e+02]
55200 [2.17e+02]
55800 [2.17e+02]
56400 [2.17e+02]
57000 [2.17e+02]
57600 [2.17e+02]
58200 [2.17e+02]
58800 [2.17e+02]
59400 [2.17e+02]
60000 [2.17e+02]
