# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.308171997070312500e+02 9.586933135986328125e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.184080541133880615e-01 8.496385812759399414e-02 3.308171997070312500e+02 9.586933135986328125e+00 0.000000000000000000e+00 0.000000000000000000e+00 1.184080541133880615e-01 8.496385812759399414e-02
1.000000000000000000e+03 2.122020530700683594e+01 2.903623972088098526e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.494627892971038818e-01 8.855447918176651001e-02 2.122020530700683594e+01 2.903623972088098526e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.494627892971038818e-01 8.855447918176651001e-02
2.000000000000000000e+03 2.092759513854980469e+01 1.762715168297290802e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.496800929307937622e-01 8.847352862358093262e-02 2.092759513854980469e+01 1.762715168297290802e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.496800929307937622e-01 8.847352862358093262e-02
3.000000000000000000e+03 2.082304763793945312e+01 1.981091918423771858e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.497067958116531372e-01 8.841984719038009644e-02 2.082304763793945312e+01 1.981091918423771858e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.497067958116531372e-01 8.841984719038009644e-02
4.000000000000000000e+03 2.076081275939941406e+01 2.852106001228094101e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.497434079647064209e-01 8.836232125759124756e-02 2.076081275939941406e+01 2.852106001228094101e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.497434079647064209e-01 8.836232125759124756e-02
5.000000000000000000e+03 2.070437240600585938e+01 4.463601391762495041e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.497342288494110107e-01 8.830970525741577148e-02 2.070437240600585938e+01 4.463601391762495041e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.497342288494110107e-01 8.830970525741577148e-02
6.000000000000000000e+03 2.050966644287109375e+01 5.945101846009492874e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.499729007482528687e-01 8.826221525669097900e-02 2.050966644287109375e+01 5.945101846009492874e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.499729007482528687e-01 8.826221525669097900e-02
7.000000000000000000e+03 2.026234626770019531e+01 8.535791188478469849e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.500196903944015503e-01 8.817247301340103149e-02 2.026234626770019531e+01 8.535791188478469849e-03 0.000000000000000000e+00 0.000000000000000000e+00 1.500196903944015503e-01 8.817247301340103149e-02
8.000000000000000000e+03 2.009155845642089844e+01 1.311199180781841278e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.464522778987884521e-01 8.741503953933715820e-02 2.009155845642089844e+01 1.311199180781841278e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.464522778987884521e-01 8.741503953933715820e-02
9.000000000000000000e+03 1.947413063049316406e+01 1.459472160786390305e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.504284888505935669e-01 8.802339434623718262e-02 1.947413063049316406e+01 1.459472160786390305e-02 0.000000000000000000e+00 0.000000000000000000e+00 1.504284888505935669e-01 8.802339434623718262e-02
