# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 1.219799816608428955e-01 1.000000000000000000e+00 1.980559706687927246e+00 6.520451307296752930e-01 1.199379563331604004e-01 1.000000000000000000e+00 1.980559706687927246e+00 6.520451307296752930e-01 9.722361564636230469e-01
1.000000000000000000e+03 1.846176892286166549e-04 9.571513533592224121e-02 6.216800771653652191e-03 5.739824175834655762e-01 1.815449941204860806e-04 9.571513533592224121e-02 6.216800771653652191e-03 5.739824175834655762e-01 8.917635679244995117e-01
2.000000000000000000e+03 1.978410582523792982e-04 9.429646283388137817e-02 6.647739559412002563e-03 5.671609640121459961e-01 1.943396055139601231e-04 9.429646283388137817e-02 6.647739559412002563e-03 5.671609640121459961e-01 8.863260149955749512e-01
3.000000000000000000e+03 2.092762588290497661e-04 9.090661257505416870e-02 6.724706850945949554e-03 5.563982129096984863e-01 2.092121867462992668e-04 9.090661257505416870e-02 6.724706850945949554e-03 5.563982129096984863e-01 8.777055740356445312e-01
4.000000000000000000e+03 1.017555914586409926e-04 8.534689992666244507e-02 9.723211638629436493e-03 5.360289216041564941e-01 1.006076781777665019e-04 8.534689992666244507e-02 9.723211638629436493e-03 5.360289216041564941e-01 8.611389398574829102e-01
5.000000000000000000e+03 1.788827357813715935e-04 7.912643998861312866e-02 7.536367978900671005e-03 5.134553313255310059e-01 1.763454929459840059e-04 7.912643998861312866e-02 7.536367978900671005e-03 5.134553313255310059e-01 8.424928188323974609e-01
6.000000000000000000e+03 2.085639280267059803e-04 7.335526496171951294e-02 7.972686551511287689e-03 4.924083352088928223e-01 2.070448390441015363e-04 7.335526496171951294e-02 7.972686551511287689e-03 4.924083352088928223e-01 8.247293829917907715e-01
7.000000000000000000e+03 5.821557133458554745e-04 6.916486471891403198e-02 7.585376966744661331e-03 4.746062457561492920e-01 5.829152651131153107e-04 6.916486471891403198e-02 7.585376966744661331e-03 4.746062457561492920e-01 8.094195127487182617e-01
8.000000000000000000e+03 3.042846510652452707e-04 6.416367739439010620e-02 8.806908503174781799e-03 4.589836001396179199e-01 2.982624864671379328e-04 6.416367739439010620e-02 8.806908503174781799e-03 4.589836001396179199e-01 7.957637906074523926e-01
9.000000000000000000e+03 4.191047628410160542e-04 6.061410158872604370e-02 8.794114924967288971e-03 4.444223642349243164e-01 4.138221265748143196e-04 6.061410158872604370e-02 8.794114924967288971e-03 4.444223642349243164e-01 7.828287482261657715e-01
1.000000000000000000e+04 9.862977312877774239e-04 5.814577266573905945e-02 8.381990715861320496e-03 4.301210641860961914e-01 9.890135843306779861e-04 5.814577266573905945e-02 8.381990715861320496e-03 4.301210641860961914e-01 7.699086666107177734e-01
1.100000000000000000e+04 4.071208823006600142e-04 5.386490747332572937e-02 9.157262742519378662e-03 4.175184369087219238e-01 4.021084751002490520e-04 5.386490747332572937e-02 9.157262742519378662e-03 4.175184369087219238e-01 7.583857774734497070e-01
1.200000000000000000e+04 3.775300574488937855e-04 5.080818384885787964e-02 9.299263358116149902e-03 4.048089683055877686e-01 3.733632038347423077e-04 5.080818384885787964e-02 9.299263358116149902e-03 4.048089683055877686e-01 7.465747594833374023e-01
1.300000000000000000e+04 3.204582899343222380e-04 4.786081984639167786e-02 9.426978416740894318e-03 3.923002183437347412e-01 3.178084152750670910e-04 4.786081984639167786e-02 9.426978416740894318e-03 3.923002183437347412e-01 7.347739934921264648e-01
1.400000000000000000e+04 1.036845729686319828e-03 4.561894387006759644e-02 9.155026637017726898e-03 3.797741830348968506e-01 1.043296535499393940e-03 4.561894387006759644e-02 9.155026637017726898e-03 3.797741830348968506e-01 7.227592468261718750e-01
